request_rate,time_gap_ms,failed_logins,packet_size_kb,payload_entropy,label
21.0,50.26,4,0.5,8.99,Attack
13.03,137.91,9,0.14,6.59,Attack
14.74,75.99,9,1.41,7.7,Attack
1.25,287.91,2,5.4,2.45,Normal
8.14,75.11,15,1.38,7.17,Attack
3.91,332.97,0,7.72,4.89,Normal
4.68,212.98,2,2.76,3.55,Normal
3.02,1135.92,0,2.22,4.3,Normal
3.81,407.31,1,2.46,3.45,Normal
1.65,921.12,1,4.39,2.01,Normal
15.78,115.94,5,0.86,6.95,Attack
17.81,38.19,5,1.07,8.98,Attack
2.95,688.61,0,6.8,3.72,Normal
3.5,618.75,0,8.81,4.07,Normal
21.85,20.89,5,0.23,7.8,Attack
8.86,47.85,12,0.76,7.46,Attack
1.69,1090.09,2,2.32,2.68,Normal
3.94,987.11,1,1.27,2.45,Normal
2.72,1156.13,1,6.02,4.2,Normal
3.54,668.24,0,2.1,3.06,Normal
4.96,339.53,0,4.91,4.88,Normal
1.73,301.78,1,2.51,4.38,Normal
15.51,100.28,12,1.42,8.82,Attack
12.47,94.7,4,1.1,6.88,Attack
4.32,201.37,0,7.2,3.8,Normal
1.69,1018.89,0,1.53,3.42,Normal
16.74,103.81,7,1.15,6.16,Attack
18.58,68.5,14,0.14,6.18,Attack
20.61,93.48,13,1.49,7.0,Attack
4.15,739.67,1,2.1,2.53,Normal
20.31,107.87,13,0.15,7.96,Attack
22.21,33.88,15,0.29,8.65,Attack
14.83,126.9,11,1.33,6.16,Attack
3.5,605.5,0,8.16,2.08,Normal
4.46,384.8,1,2.0,4.27,Normal
2.87,646.98,2,6.95,3.81,Normal
2.99,314.8,0,1.54,2.07,Normal
0.61,739.04,0,2.1,3.45,Normal
12.09,139.8,9,1.17,7.12,Attack
4.94,930.29,0,5.36,4.23,Normal
16.78,123.53,8,0.74,8.38,Attack
2.62,761.98,2,1.96,4.92,Normal
9.63,86.81,11,1.4,6.97,Attack
0.99,1176.09,2,5.49,2.2,Normal
4.86,362.19,2,6.26,4.92,Normal
3.81,1058.19,1,7.13,3.89,Normal
4.95,632.59,0,6.65,2.39,Normal
2.05,227.38,2,8.83,2.82,Normal
2.99,1055.21,0,4.54,3.22,Normal
10.8,26.52,12,1.09,7.7,Attack
9.42,76.09,12,1.27,8.03,Attack
4.58,1139.2,0,8.38,4.87,Normal
18.99,96.66,6,1.46,8.82,Attack
1.01,1093.95,0,1.86,2.87,Normal
2.34,497.23,1,2.95,4.53,Normal
21.65,52.67,14,1.27,6.51,Attack
21.77,85.65,8,0.77,7.9,Attack
22.18,98.58,9,1.2,6.57,Attack
10.16,64.8,7,1.16,8.56,Attack
2.09,1168.63,1,8.1,2.04,Normal
1.23,1053.77,2,2.53,2.46,Normal
3.99,251.74,2,3.76,4.86,Normal
1.11,530.85,2,9.4,4.81,Normal
14.33,21.7,9,1.37,7.54,Attack
18.41,68.01,12,0.53,7.19,Attack
3.93,310.45,1,8.61,2.72,Normal
2.62,581.43,1,5.47,3.74,Normal
17.19,122.85,14,0.78,7.08,Attack
21.73,126.02,4,0.89,6.66,Attack
13.26,137.47,14,0.9,6.17,Attack
0.97,909.72,0,6.07,2.68,Normal
0.99,537.63,1,6.83,2.11,Normal
2.23,899.43,0,9.41,2.07,Normal
4.98,964.36,1,8.62,4.8,Normal
21.71,107.97,6,1.43,7.63,Attack
4.78,1003.9,1,4.06,4.07,Normal
4.72,486.33,1,1.88,3.48,Normal
3.06,823.17,0,5.69,3.33,Normal
18.41,93.08,6,0.18,8.56,Attack
14.97,149.06,6,0.55,8.22,Attack
1.01,309.02,1,4.28,3.3,Normal
17.79,77.17,13,0.66,8.86,Attack
24.62,83.74,13,0.6,8.26,Attack
22.24,120.24,4,0.92,7.9,Attack
0.72,920.81,1,4.0,3.44,Normal
16.5,132.53,11,0.16,6.88,Attack
9.89,49.27,13,0.51,9.0,Attack
2.81,232.69,0,4.01,3.1,Normal
12.94,77.17,5,0.58,6.56,Attack
1.9,405.49,1,4.52,3.04,Normal
18.22,149.14,14,0.63,8.14,Attack
2.29,676.8,0,3.04,2.38,Normal
12.08,107.81,11,1.5,6.65,Attack
0.98,758.24,2,5.94,3.28,Normal
9.97,106.67,4,0.82,6.19,Attack
4.66,1059.1,0,2.71,2.11,Normal
3.1,684.73,1,6.82,2.75,Normal
11.61,147.21,10,0.21,6.83,Attack
10.87,137.51,7,1.06,7.76,Attack
14.4,139.35,11,0.67,7.5,Attack
1.33,817.3,2,3.62,4.54,Normal
19.54,102.05,8,0.74,8.27,Attack
2.73,1146.68,1,1.86,2.69,Normal
1.8,498.68,0,2.21,2.44,Normal
0.88,330.8,0,7.72,2.9,Normal
1.29,433.57,0,3.61,2.38,Normal
16.85,85.55,6,1.11,7.25,Attack
14.14,52.81,14,0.94,7.39,Attack
0.68,1052.14,0,6.9,4.74,Normal
8.5,117.59,13,0.76,6.32,Attack
3.91,438.11,0,4.25,2.39,Normal
4.01,709.2,1,5.72,3.28,Normal
15.69,90.98,9,0.28,6.35,Attack
1.1,632.3,0,3.92,4.75,Normal
1.39,717.03,2,3.51,2.8,Normal
1.31,996.46,2,3.03,3.09,Normal
1.06,714.53,1,1.09,4.05,Normal
23.16,94.42,13,0.24,6.49,Attack
2.15,510.17,0,9.81,3.83,Normal
2.77,637.35,0,1.02,2.39,Normal
12.52,80.97,8,1.01,6.25,Attack
2.87,527.17,2,6.12,2.6,Normal
15.55,39.13,14,0.65,7.21,Attack
2.78,976.31,0,9.33,2.74,Normal
0.91,670.38,0,3.58,4.17,Normal
23.46,44.56,11,1.01,6.33,Attack
22.98,70.0,11,1.15,8.94,Attack
22.66,129.49,8,0.41,7.18,Attack
20.16,137.29,9,1.0,6.4,Attack
20.38,104.7,5,0.16,6.45,Attack
4.69,397.4,1,3.99,2.88,Normal
2.11,652.38,0,6.27,3.53,Normal
24.05,107.44,9,0.36,7.7,Attack
23.12,28.55,11,1.35,6.92,Attack
23.93,100.77,12,0.7,8.86,Attack
19.3,90.62,5,0.89,8.49,Attack
13.02,146.36,14,0.24,7.12,Attack
3.17,1112.39,1,3.96,3.7,Normal
9.53,132.35,11,1.26,6.11,Attack
10.11,69.43,13,0.85,6.4,Attack
8.12,67.94,14,0.9,8.21,Attack
4.06,630.76,1,1.8,2.26,Normal
23.21,126.77,8,1.38,8.22,Attack
21.39,24.88,11,0.69,8.08,Attack
4.88,998.91,2,5.51,3.98,Normal
15.29,56.31,14,0.44,7.06,Attack
16.0,57.3,4,0.93,8.64,Attack
2.93,829.13,2,1.3,2.96,Normal
8.14,100.86,6,0.94,8.08,Attack
1.59,735.53,0,3.72,3.21,Normal
1.87,635.02,0,7.41,4.99,Normal
15.73,138.07,4,1.41,6.14,Attack
3.12,416.84,0,2.85,4.7,Normal
16.47,77.1,7,0.46,6.13,Attack
1.69,676.9,1,9.96,2.43,Normal
19.22,114.98,9,0.64,6.66,Attack
21.9,99.8,8,0.78,6.89,Attack
3.03,890.21,0,9.41,4.1,Normal
3.18,645.13,2,3.2,4.95,Normal
22.52,141.27,14,0.9,8.81,Attack
15.2,50.27,14,0.84,8.5,Attack
19.91,119.14,8,0.32,6.63,Attack
19.45,74.18,8,1.3,7.99,Attack
17.74,97.48,14,0.74,6.49,Attack
10.56,104.84,4,0.16,7.58,Attack
17.73,140.92,8,1.41,6.32,Attack
3.18,286.7,1,9.09,2.22,Normal
22.45,145.87,14,0.72,6.36,Attack
1.2,824.6,0,8.11,2.59,Normal
18.29,120.67,11,1.18,8.63,Attack
9.16,60.54,5,1.33,6.83,Attack
3.22,1190.82,0,5.03,3.96,Normal
11.21,100.28,6,1.44,7.98,Attack
3.48,997.78,1,1.13,4.98,Normal
22.76,43.31,9,0.33,7.61,Attack
3.54,396.2,0,8.35,2.01,Normal
21.65,46.06,12,0.15,6.69,Attack
3.84,883.71,0,3.56,3.83,Normal
4.72,939.77,2,9.7,2.98,Normal
24.94,54.39,11,0.27,8.0,Attack
17.2,40.87,14,0.7,8.72,Attack
3.71,1057.61,0,7.38,2.11,Normal
0.86,989.67,0,1.75,2.52,Normal
3.47,733.26,1,7.03,2.48,Normal
2.86,473.84,0,9.24,4.33,Normal
22.29,24.81,9,0.42,8.65,Attack
2.07,827.87,0,1.98,3.82,Normal
14.79,51.04,8,0.67,6.45,Attack
0.6,766.6,1,4.55,4.33,Normal
3.77,596.25,2,8.95,2.76,Normal
17.28,87.74,4,0.59,7.32,Attack
0.96,986.91,1,9.86,3.76,Normal
2.78,822.45,2,9.29,2.18,Normal
19.27,107.94,5,1.4,6.31,Attack
10.76,79.99,8,0.31,7.17,Attack
13.54,34.01,13,0.73,6.08,Attack
2.13,359.37,1,9.7,3.6,Normal
12.19,141.35,4,0.92,7.34,Attack
14.66,69.06,7,1.4,8.66,Attack
3.43,630.58,0,9.36,3.2,Normal
15.97,85.62,12,0.13,6.83,Attack
23.89,131.83,11,0.91,8.31,Attack
17.34,72.64,8,0.57,6.35,Attack
9.38,67.03,12,0.78,8.11,Attack
24.34,76.94,12,0.38,6.95,Attack
13.87,51.31,9,0.65,8.75,Attack
14.12,144.08,14,0.58,6.53,Attack
21.91,50.48,6,0.23,8.47,Attack
1.07,1177.84,2,6.93,4.35,Normal
21.92,114.43,11,1.38,7.04,Attack
1.72,826.32,0,6.78,4.85,Normal
1.04,561.57,1,7.64,4.16,Normal
1.15,243.26,2,6.47,4.12,Normal
20.3,82.68,8,0.84,7.24,Attack
1.16,763.38,2,9.34,3.25,Normal
23.46,43.6,15,0.62,6.47,Attack
2.78,486.91,2,8.69,2.89,Normal
16.65,33.84,5,0.7,7.58,Attack
10.52,46.32,8,0.98,6.03,Attack
19.33,46.72,9,1.38,7.63,Attack
22.51,135.74,8,0.48,8.8,Attack
2.06,456.55,1,2.98,2.83,Normal
1.4,940.69,1,4.27,3.91,Normal
2.16,375.11,0,3.45,3.51,Normal
4.42,729.86,2,7.69,3.03,Normal
2.22,270.99,0,5.95,4.59,Normal
14.37,146.89,6,0.69,6.69,Attack
23.96,71.37,15,0.71,7.57,Attack
22.02,24.51,9,0.26,8.78,Attack
23.12,121.79,15,0.62,7.41,Attack
20.33,62.5,8,1.17,8.93,Attack
9.73,20.5,9,1.24,6.25,Attack
11.43,71.14,6,1.33,7.53,Attack
21.79,60.08,14,0.88,6.18,Attack
20.93,88.74,8,0.19,6.36,Attack
2.34,232.59,0,1.8,4.62,Normal
3.77,1153.85,0,6.42,4.44,Normal
9.7,43.33,6,0.3,7.73,Attack
9.02,124.17,7,0.15,7.18,Attack
0.75,208.37,2,5.38,3.07,Normal
3.65,264.0,2,8.69,3.62,Normal
2.68,750.86,0,1.11,2.28,Normal
22.83,123.78,8,0.82,8.34,Attack
2.22,799.26,2,8.51,3.03,Normal
8.86,34.51,4,0.55,6.32,Attack
23.66,21.35,6,0.87,7.84,Attack
2.34,820.71,0,9.76,4.69,Normal
17.59,80.28,9,0.82,8.93,Attack
24.98,114.06,9,1.08,8.76,Attack
22.77,82.77,4,0.39,7.76,Attack
3.87,627.0,0,5.27,2.37,Normal
22.26,22.06,7,0.38,6.94,Attack
4.86,203.64,1,5.8,3.55,Normal
16.21,74.27,12,1.15,8.1,Attack
19.0,69.35,14,1.45,8.73,Attack
3.95,1073.94,0,1.71,3.93,Normal
1.75,222.2,0,8.2,3.2,Normal
4.45,699.58,2,1.75,3.62,Normal
15.2,32.95,13,0.38,8.21,Attack
8.83,23.09,5,0.73,7.72,Attack
24.22,121.02,7,0.76,6.92,Attack
1.97,615.54,2,7.15,3.73,Normal
1.53,710.24,2,2.05,2.79,Normal
3.02,962.32,2,1.12,3.87,Normal
18.95,143.04,14,0.59,7.06,Attack
4.71,1051.27,1,6.78,3.68,Normal
18.13,141.34,4,0.22,6.26,Attack
3.45,1002.7,0,6.17,3.26,Normal
13.79,91.19,7,1.12,7.68,Attack
15.58,131.45,15,1.39,8.62,Attack
1.12,1173.74,1,5.55,4.59,Normal
9.71,112.81,11,0.44,8.97,Attack
1.11,963.68,1,7.29,2.47,Normal
0.79,842.53,1,6.7,2.8,Normal
10.44,50.31,5,1.22,7.29,Attack
17.39,70.55,8,1.14,6.8,Attack
22.98,80.86,14,1.14,7.51,Attack
23.96,123.56,12,0.39,7.98,Attack
10.95,35.7,5,0.97,7.3,Attack
2.7,389.74,0,5.49,3.43,Normal
2.04,232.71,0,6.59,2.76,Normal
0.92,801.02,2,3.58,2.2,Normal
19.02,100.61,7,0.82,8.17,Attack
10.64,52.4,15,0.81,6.98,Attack
17.97,66.55,7,0.95,6.26,Attack
1.25,904.6,0,8.12,3.6,Normal
0.53,1167.72,1,9.58,3.6,Normal
13.6,74.79,10,1.05,6.32,Attack
4.09,863.31,1,9.91,2.75,Normal
3.83,580.11,0,6.32,4.89,Normal
23.26,56.42,10,0.13,8.56,Attack
4.85,1138.62,0,7.49,4.66,Normal
14.56,120.26,10,0.9,6.54,Attack
0.83,517.32,0,1.33,3.49,Normal
4.03,1161.46,1,3.77,3.7,Normal
3.86,536.39,1,8.98,4.57,Normal
22.95,116.48,5,1.48,8.23,Attack
3.43,1064.4,1,9.24,3.94,Normal
17.25,51.29,13,1.37,6.55,Attack
1.41,541.28,0,4.39,3.37,Normal
14.98,144.04,10,1.46,8.74,Attack
0.82,381.71,0,8.09,4.07,Normal
11.12,52.1,5,0.83,7.16,Attack
17.58,86.07,9,0.89,8.52,Attack
0.76,924.65,1,2.69,3.11,Normal
8.18,128.45,13,1.23,8.42,Attack
14.29,61.16,15,0.98,8.78,Attack
4.39,638.4,0,5.09,4.83,Normal
0.82,226.6,2,5.43,2.81,Normal
1.07,768.27,1,5.38,2.04,Normal
1.06,300.87,1,7.27,3.35,Normal
0.89,452.01,1,1.02,2.1,Normal
1.79,1058.11,2,4.69,2.14,Normal
23.24,121.89,4,0.33,6.51,Attack
